state,meanMedian,state,meanCleanExpenditure
South Dakota,81221.0,South Dakota,1014543.96
District of Columbia,93759.59375,District of Columbia,1017167.84
North Dakota,83476.15126050421,North Dakota,1024572.36
Wyoming,113605.57333333333,Wyoming,1152672.48
Montana,68587.66891891892,Montana,1298440.72
Delaware,87086.03409090909,Delaware,1374873.48
Vermont,81112.72289156627,Vermont,1444050.6
Idaho,81455.55033557047,Idaho,1644000.32
Rhode Island,105751.98165137615,Rhode Island,1697362.2
Hawaii,95679.36231884058,Hawaii,1775751.76
Alaska,108911.69523809524,Alaska,1817666.4
Maine,66040.71337579619,Maine,2110503.12
New Hampshire,101146.00763358778,New Hampshire,2145839.0
West Virginia,63566.334677419356,West Virginia,2670432.28
New Mexico,82390.7625,New Mexico,2725713.0
Nebraska,90510.68727272727,Nebraska,2827493.88
Nevada,90228.09811320755,Nevada,3118675.8
Utah,109378.08045977012,Utah,3221084.2
Mississippi,57423.01246105919,Mississippi,3385137.08
Arkansas,52381.60588235294,Arkansas,3707725.96
Kansas,82433.13648293963,Kansas,4245505.64
Oklahoma,61972.666666666664,Oklahoma,4499403.64
Iowa,80540.41629955947,Iowa,4734091.4
Oregon,85136.76485788113,Oregon,5133733.64
Kentucky,64374.350100603624,Kentucky,5350342.72
Alabama,62771.24144486692,Alabama,5690278.88
Louisiana,59831.225048923676,Louisiana,5966403.88
South Carolina,68207.05664488017,South Carolina,6156678.92
Arizona,79373.54457050243,Arizona,6549709.12
Colorado,99512.92205323195,Colorado,6662776.4
Tennessee,65054.75081967213,Tennessee,6771679.56
Connecticut,120557.34929577465,Connecticut,7197858.72
Missouri,70934.11,Missouri,7830981.52
Minnesota,88461.72542901715,Minnesota,8861633.52
Wisconsin,79387.05934718101,Wisconsin,8995488.76
Indiana,83273.609375,Indiana,9406665.08
Washington,99918.09156976744,Washington,9481863.84
Maryland,113988.23208191126,Maryland,9574154.72
North Carolina,70692.51147540983,North Carolina,10512102.72
Virginia,103971.86369426752,Virginia,11456358.48
Massachusetts,118008.03880597015,Massachusetts,11740076.32
Georgia,71669.21149144255,Georgia,13332004.36
Michigan,70040.0545144804,Michigan,17026245.84
Ohio,74885.29873980726,Ohio,17775446.24
New Jersey,125685.82995495496,New Jersey,20051592.24
Florida,75203.75677302829,Florida,21287605.24
Illinois,86771.18518518518,Illinois,21444064.84
Pennsylvania,83214.73152542373,Pennsylvania,21813791.52
Texas,85856.51304347826,Texas,38347089.88
New York,100544.02685185186,New York,44201162.8
California,100581.73292682927,California,56247851.32
