county,meanMedian,county,meanCleanExpenditure
Bryan County,21538.0,Bryan County,130.0
Garfield County,43560.0,Garfield County,281.5
Delaware County,91007.0,Delaware County,557.3333333333334
Carter County,53521.0,Carter County,846.3333333333334
Grant County,52017.5,Grant County,1359.7391304347825
Osage County,54211.0,Osage County,1389.3934426229507
Pittsburg County,31334.666666666668,Pittsburg County,1496.4347826086957
Harmon County,56734.0,Harmon County,1593.5217391304348
McCurtain County,26490.0,McCurtain County,1951.4074074074074
Cherokee County,30578.0,Cherokee County,2395.344827586207
Custer County,48160.0,Custer County,4290.217391304348
Coal County,19225.0,Coal County,4366.03125
Caddo County,31854.0,Caddo County,4779.275
Creek County,32440.0,Creek County,5157.607655502392
Pawnee County,36531.0,Pawnee County,5388.04347826087
Haskell County,24240.666666666668,Haskell County,5641.04
Adair County,63308.97277227723,Adair County,5819.173913043478
Nowata County,42861.0,Nowata County,7104.130434782609
Seminole County,32259.0,Seminole County,7126.205882352941
Sequoyah County,38033.0,Sequoyah County,7793.695652173913
Comanche County,170004.0,Comanche County,7795.0
Cleveland County,52368.0,Cleveland County,9104.464285714286
Okmulgee County,32335.5,Okmulgee County,13866.521739130434
Choctaw County,19519.0,Choctaw County,30457.869565217392
Muskogee County,36450.5,Muskogee County,44298.32
Tulsa County,34950.0,Tulsa County,207140.68181818182
